fichier,page,zone,information,etat,dimensions_niveaux,fiabilite_limites,inspection
Terrasse de droite.pdf,4,Terrasse de droite,Tableau des cotes spatiales et Z locaux,Etat non precise dans le PDF,Z locaux -0.14 a +0.17 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de droite.pdf,5,Terrasse de droite,Courbes de niveau et surface/volume calcules,Etat non precise dans le PDF,Z locaux -0.14 a +0.17 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de droite.pdf,6,Terrasse de droite,Visualisation de surface interpolee,Etat non precise dans le PDF,Z locaux -0.14 a +0.17 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de droite_page-0001.jpg,1,Terrasse de droite,Copie raster du plan,Meme representation visuelle que PDF p.1,Cotes visibles du plan seulement,Comparaison visuelle concordante; ne remplace pas les 6 pages PDF,Inspecte et compare au PDF
Terrasse de gauche.pdf,1,Terrasse de gauche,"Plan vectoriel, longueurs XY et surface projetee si contour ferme",Etat non precise dans le PDF,Z locaux -0.68 a +0.04 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de gauche.pdf,2,Terrasse de gauche,Tableau des cotes horizontales et Z locaux,Etat non precise dans le PDF,Z locaux -0.68 a +0.04 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de gauche.pdf,3,Terrasse de gauche,Projection 3D du trace et parcours spatial,Etat non precise dans le PDF,Z locaux -0.68 a +0.04 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de gauche.pdf,4,Terrasse de gauche,Tableau des cotes spatiales et Z locaux,Etat non precise dans le PDF,Z locaux -0.68 a +0.04 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de gauche.pdf,5,Terrasse de gauche,Courbes de niveau et surface/volume calcules,Etat non precise dans le PDF,Z locaux -0.68 a +0.04 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de gauche.pdf,6,Terrasse de gauche,Visualisation de surface interpolee,Etat non precise dans le PDF,Z locaux -0.68 a +0.04 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Terrasse de gauche_page-0001.jpg,1,Terrasse de gauche,Copie raster du plan,Meme representation visuelle que PDF p.1,Cotes visibles du plan seulement,Comparaison visuelle concordante; ne remplace pas les 6 pages PDF,Inspecte et compare au PDF
Zone escalier.pdf,1,Zone escalier,"Plan vectoriel, longueurs XY et surface projetee si contour ferme",Etat non precise dans le PDF,Z locaux -0.62 a +0.92 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Zone escalier.pdf,2,Zone escalier,Tableau des cotes horizontales et Z locaux,Etat non precise dans le PDF,Z locaux -0.62 a +0.92 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Zone escalier.pdf,3,Zone escalier,Projection 3D du trace et parcours spatial,Etat non precise dans le PDF,Z locaux -0.62 a +0.92 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Zone escalier.pdf,4,Zone escalier,Tableau des cotes spatiales et Z locaux,Etat non precise dans le PDF,Z locaux -0.62 a +0.92 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Zone escalier.pdf,5,Zone escalier,Courbes de niveau et surface/volume calcules,Etat non precise dans le PDF,Z locaux -0.62 a +0.92 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Zone escalier.pdf,6,Zone escalier,Visualisation de surface interpolee,Etat non precise dans le PDF,Z locaux -0.62 a +0.92 m; voir tables CSV,Cotes explicites arrondies; XY deduits du trace; pas de coordonnees brutes; repere physique non localise,Page rendue inspectee + texte extrait
Zone escalier_page-0001.jpg,1,Zone escalier,Copie raster du plan,Meme representation visuelle que PDF p.1,Cotes visibles du plan seulement,Comparaison visuelle concordante; ne remplace pas les 6 pages PDF,Inspecte et compare au PDF
IMG_9298.HEIC,image principale,Terrasse repas contre facade pierre,"Dallage gris, mobilier existant, gravier, jonctions pelouse; facade et volumes visibles","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9299.HEIC,image principale,Seuil annexe pierre / terrasse repas,"Porte, seuil, gravier et bord de dalle; pas de hauteur cotee","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9302.HEIC,image principale,Liaison gravier / piscine,"Abri bas telescopique existant, plage grise et bande de galets, pots","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9303.HEIC,image principale,Angle de la plage piscine,"Dallage, galets clairs, gravier et pelouse; raccords observes","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9305.HEIC,image principale,Plateforme entre piscine et veranda,"Dallage rectangulaire, galets, gravier et arrivee escalier pierre","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9307.HEIC,image principale,Gravier devant veranda et aile basse,"Galets peripheriques, pots, panier de basket existant, facades en arriere-plan","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9308.HEIC,image principale,"Veranda, maison pierre et aile enduite","Relations des volumes, gravier et pelouse; hauteurs non cotees","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9311.HEIC,image principale,Passage au pied de l aile enduite,"Escalier gravillonne avec nez pierre, bordure pierre courbe, pelouse","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9312.HEIC,image principale,Seuil de porte aile enduite et passage lateral,"Caniveau, plusieurs volées ou ruptures, marches et bordures pierre","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
IMG_9313.HEIC,image principale,Escalier entre veranda et plateforme piscine,"Marches larges en pierre, murets lateraux, plateforme dallee en partie haute","Amenage en usage, lecture visuelle; attribution au projet de Jonathan non certifiee",Aucune dimension metrique directement exploitable,Relations et materiaux fiables visuellement; perspective non metrique; correspondance avec releves non etablie,"HEIC converti, orientation respectee; photo inspectee"
vue aérienne.jpg,1,Ensemble bati / piscine / abords,Implantation generale et surimpression parcellaire,Etat visible; chronologie non etablie,Barre 10 m visible; non exploitee comme controle topographique,"Ni orthophoto metrique attestee, ni preuve de limite juridique; pas de nord attribue",Inspectee
